Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
ABW,AMR,403087,238127,242372,261801,232918,163119,131555,390875,232711,262818,296086,264529,188880,175424,3484320
AFG,EMR,210006264,87670828,55543003,36080138,23051356,13900050,9211833,200496932,84565640,55170846,37039892,24661382,15451287,11067677,863917172
AGO,AFR,170200188,69644318,49361161,33124370,21592494,12595006,7949800,169560373,70255507,50728725,35213329,23922013,14658691,10191662,738997642
AIA,AMR,57569,35365,36643,32689,24340,15310,16235,57940,34811,37594,33458,24792,16831,20230,443853
ALB,EUR,17935941,11758321,9419748,7579740,6683322,5162288,5134922,16894218,11500184,9236827,7579874,6508852,5115864,5839071,126349169
AND,EUR,219683,169949,240452,241269,195418,134027,141763,204600,156543,222766,219680,173898,121021,147119,2588222
ANT,AMR,779963,450077,422237,405608,307158,204845,181000,762827,458983,479043,475060,358103,237134,246478,5768530
ARE,EMR,17334243,24501915,46157455,28853099,9559039,2081224,749441,15755052,11208024,14903375,8333536,3009956,1060215,701891,184208442
ARG,AMR,213367149,127512262,112129144,95062242,77279027,60259865,60062446,203754455,123131989,109808457,94894914,79439160,66237254,88389022,1511327389
ARM,EUR,17055231,11105828,9860729,7504522,6413270,4863248,3978506,16266564,11452741,11047535,8801775,7676886,6139277,6785695,128951841
ASM,WPR,393389,191554,146175,122750,93861,57702,36516,369972,185729,147768,119938,89941,56468,41327,2053091
ATG,AMR,408165,274657,238013,191274,151906,106389,104827,405766,285663,265988,226942,180659,124202,145557,3109939
AUS,WPR,84779537,59214119,60985715,57364425,49836290,40168489,45796073,80523454,56771916,60693713,57380166,49747006,40597671,56578675,800437266
AUT,EUR,28163643,22371077,24479375,24244546,22342420,17801795,20872841,26787455,21555380,23985342,23890685,22413645,19758923,32883942,331551085
AZE,EUR,51118187,31842906,28039263,20828971,16349137,10419307,7035353,47967796,32115826,29822523,23055486,18395583,12629206,11345144,340964749
BDI,AFR,70027449,29455677,20185137,12199959,7336689,4537548,3128727,69649512,29537377,20631982,12815634,8127628,5476412,4403620,297513392
BEL,EUR,38857235,28255246,30646800,30392052,28347978,24217516,29092912,37076335,27267053,29918609,29627080,28085232,25282671,41274015,428340768
BEN,AFR,68279597,29709528,20500083,13750903,9030105,5571284,4352899,66488244,29338884,20805298,14449959,9896059,6534866,5829853,304537543
BFA,AFR,121892227,51781769,34444311,22045478,14046827,8915431,6482757,118585832,51077182,35330007,23883155,16372812,11173154,8818674,524849600
BGD,SEA,971378221,526184134,398975319,294291694,209094446,136590000,113059608,936300631,517684360,407153298,295481951,200696196,129354931,103605381,5239850169
BGR,EUR,29221705,22051513,23377354,22981853,21792019,19443275,22806027,28135531,21160740,22705089,23053995,22654982,21848045,31635810,332867935
BHR,EMR,4456145,3223812,5555913,4073670,2142368,908016,441100,4196992,2407946,2718824,1960073,1160070,604509,393703,34243177
BHS,AMR,1861582,1199978,1068362,907315,665403,401692,314572,1846503,1207484,1118411,966217,720120,456761,434626,13169036
BIH,EUR,17261355,13530678,12906050,11245274,10343985,8087423,7262236,16543704,12941329,12352487,11149378,10741086,9290016,10672787,164327812
BLR,EUR,40021044,29398911,31318895,27890630,25238912,20098292,17517965,38945587,28904768,31553526,29511519,28498606,26746043,36148340,411793009
BLZ,AMR,1985203,1066361,786683,556136,382519,242294,215102,1921162,1061826,795674,555184,369151,226510,213864,10377718
BMU,AMR,227454,157097,197852,204321,172441,128531,121073,220346,155286,198008,200492,177085,142018,168735,2470818
BOL,AMR,66917059,35419452,26766869,19541102,13851780,9157314,7250303,64514539,34372140,26250035,19314581,13891654,9680640,9060321,355987809
BRA,AMR,1041954840,662801434,579559113,460265009,341036916,229491264,190248920,1009756548,652315568,584561033,475945006,363688947,255257770,238543117,7085425513
BRB,AMR,1217919,874296,844998,729593,599695,455445,528438,1193260,871778,877140,788030,671716,537666,744931,10934959
BRN,WPR,2100612,1332443,1321114,1056360,673384,348787,218381,1954613,1203901,1147230,904328,588392,320278,229825,13399708
BTN,SEA,4404827,2638903,2151101,1547279,1107753,711342,546012,4214469,2392772,1822484,1286704,922406,619252,528254,24893658
BWA,AFR,13733485,7196655,5563827,3593534,2153271,1290296,919678,13533976,7495299,5905366,3898219,2463772,1584464,1325151,70656983
CAF,AFR,35851681,15402880,10027023,6737873,4528165,2760813,1833417,35156442,15359368,10134845,6775784,4502381,2603523,1808182,153482392
CAN,AMR,120785554,91900912,97131204,93879083,83670908,66943059,72562604,114986781,87445114,95419964,93339229,83595477,69078904,93345683,1264084503
CHE,EUR,25413901,19095668,21961095,22954280,21063139,16608080,19781106,24104893,18414729,21833696,22517837,20838838,17291967,27607549,299486767
CHL,AMR,80709092,54404577,50623225,42884058,34310048,24787190,22581452,77567549,52811364,49875685,42863783,35011261,26379183,29769501,624578047
CHN,WPR,6445950972,4582218356,4408114266,3772359408,3030599580,2068246539,1723824010,5789218451,4250968476,4182922548,3619378908,2935469641,2072823112,2082503917,50964598158
CIV,AFR,155314383,67517830,49712057,33973235,20836864,12217684,8858500,152915234,68269083,49495644,31470965,18224991,10651122,8415258,687872791
CMR,AFR,145795916,64714739,44659019,29118800,18741748,11709501,9314044,144555936,64653510,44928671,29740969,19892776,13215350,11515095,652556033
COD,AFR,493283198,203253138,138771833,95572302,65409609,40911352,28221257,491736840,203660200,141294691,98929536,69764019,46119651,36018845,2152946473
COG,AFR,29890505,13635721,10209643,7003021,4366099,2498520,1760334,29490136,13619213,10352863,7199009,4632238,2835116,2293508,139785907
COK,WPR,118200,64752,44258,38566,34816,26434,22377,111341,62273,46255,40110,34253,25371,22576,691571
